[2026-08-29T11:48:06.080Z] GET http://localhost:5173/node_modules/.vite/deps/class-variance-authority.js?v=4b24413a → 200 (?ms, 8901B)
[2026-08-29T11:48:06.126Z] GET http://localhost:5023/uploads/site/1a1008f2db6147d08df5a8884a74b4d1.png → 200 (3ms, 2790B)
[2026-08-29T11:48:06.345Z] GET http://localhost:5023/uploads/gallery/da64ee0d8a6c4628b33216c6c9f51b88.png → 200 (3ms, 2789B)
[2026-08-29T11:48:06.345Z] GET http://localhost:5023/uploads/gallery/203badf84d884870a04f3a03a204d89b.png → 200 (5ms, 2790B)
[2026-08-29T11:48:06.345Z] GET http://localhost:5023/uploads/gallery/3b60b64aa8c1423ebf47293763611b75.png → 200 (6ms, 2789B)
[2026-08-29T11:48:06.345Z] GET http://localhost:5023/uploads/gallery/0fe843c4afe24d5bba890792c390561c.png → 200 (5ms, 73B)
[2026-08-29T11:48:06.345Z] GET http://localhost:5023/uploads/gallery/c99cb9c5383d486fafa9fc6597e0d028.png → 200 (5ms, 2790B)
[2026-08-29T11:48:08.322Z] GET http://localhost:5173/plans → 200 (6ms, 1474B)
[2026-08-29T11:48:08.332Z] GET http://localhost:5173/@vite/client → 304 (5ms, ?B)
[2026-08-29T11:48:08.332Z] GET https://fonts.googleapis.com/css2?family=Hanken+Grotesk:ital,wght@0,100..900;1,100..900&family=JetBrains+Mono:wght@100..800&display=swap → 200 (?ms, 5691B)
[2026-08-29T11:48:08.332Z] GET http://localhost:5173/src/main.tsx?t=1788004076928 → 304 (5ms, ?B)
[2026-08-29T11:48:08.333Z] GET http://localhost:5173/@react-refresh → 304 (4ms, ?B)
[2026-08-29T11:48:08.336Z] GET https://fonts.gstatic.com/s/hankengrotesk/v12/ieVn2YZDLWuGJpnzaiwFXS9tYtpd59CxCis4.woff2 → 200 (?ms, ?B)
[2026-08-29T11:48:08.341Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 304 (5ms, ?B)
[2026-08-29T11:48:08.342Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=f2626067 → 200 (?ms, 130087B)
[2026-08-29T11:48:08.342Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=26ac7876 → 200 (?ms, 2819683B)
[2026-08-29T11:48:08.344Z] GET http://localhost:5173/src/app/providers/index.tsx?t=1788004076928 → 304 (3ms, ?B)
[2026-08-29T11:48:08.344Z] GET http://localhost:5173/src/index.css?t=1788004076928 → 304 (3ms, ?B)
[2026-08-29T11:48:08.344Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=f2626067 → 200 (?ms, 34713B)
[2026-08-29T11:48:08.344Z] GET http://localhost:5173/node_modules/.vite/deps/rolldown-runtime-DC62tzP2.js?v=7a230318 → 200 (1ms, 7824B)
[2026-08-29T11:48:08.345Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom.js?v=f2626067 → 200 (?ms, 48830B)
[2026-08-29T11:48:08.347Z] GET http://localhost:5173/node_modules/.vite/deps/@tanstack_react-query.js?v=d108ce7a → 200 (?ms, 355116B)
[2026-08-29T11:48:08.347Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=f7649339 → 200 (?ms, 1417484B)
[2026-08-29T11:48:08.347Z] GET http://localhost:5173/node_modules/.vite/deps/sonner.js?v=001df232 → 200 (1ms, 182049B)
[2026-08-29T11:48:08.348Z] GET http://localhost:5173/src/app/router/index.tsx?t=1788004076928 → 304 (1ms, ?B)
[2026-08-29T11:48:08.348Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-runtime.js?v=f2626067 → 200 (?ms, 35787B)
[2026-08-29T11:48:08.349Z] GET http://localhost:5173/src/constants/routes.ts → 304 (1ms, ?B)
[2026-08-29T11:48:08.349Z] GET http://localhost:5173/src/components/ui/spinner.tsx → 304 (1ms, ?B)
[2026-08-29T11:48:08.350Z] GET http://localhost:5173/src/app/router/protected-route.tsx → 304 (1ms, ?B)
[2026-08-29T11:48:08.350Z] GET http://localhost:5173/src/components/layout/app-shell.tsx?t=1788004076928 → 304 (1ms, ?B)
[2026-08-29T11:48:08.350Z] GET http://localhost:5173/src/components/layout/site-shell.tsx?t=1788004076928 → 304 (1ms, ?B)
